연변,시간정(GMT+9),대상 도메인,IP주소,조회한 DNS 서버 IP 주소
1,2018-01-25 00:29:09.773727+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
2,2018-01-25 00:29:10.881679+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
3,2018-01-25 00:29:11.969595+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
4,2018-01-25 00:29:13.052450+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
5,2018-01-25 00:29:14.142362+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
6,2018-01-25 00:29:15.238269+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
7,2018-01-25 00:29:16.323155+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
8,2018-01-25 00:29:17.402034+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
9,2018-01-25 00:29:18.490925+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
10,2018-01-25 00:29:19.580827+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
11,2018-01-25 00:29:20.674744+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
12,2018-01-25 00:29:21.776666+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
13,2018-01-25 00:29:22.867570+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
14,2018-01-25 00:29:24.017637+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
15,2018-01-25 00:29:26.394955+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
16,2018-01-25 00:29:27.469818+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
17,2018-01-25 00:29:28.550693+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
18,2018-01-25 00:29:41.905893+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
19,2018-01-25 00:29:43.018854+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
20,2018-01-25 00:29:44.093714+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
21,2018-01-25 00:29:45.188644+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
22,2018-01-25 00:29:46.276523+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
23,2018-01-25 00:29:47.385474+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
24,2018-01-25 00:29:48.457353+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
25,2018-01-25 00:29:49.530181+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
26,2018-01-25 00:29:50.609051+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
27,2018-01-25 00:29:51.679899+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
28,2018-01-25 00:29:52.754760+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
29,2018-01-25 00:29:53.840650+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
30,2018-01-25 00:29:54.939576+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
31,2018-01-25 00:34:17.184349+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
32,2018-01-25 00:34:18.270209+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
33,2018-01-25 00:34:19.370138+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
34,2018-01-25 00:34:20.444995+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
35,2018-01-25 00:34:21.796627+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
36,2018-01-25 00:34:22.881479+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
37,2018-01-25 00:34:24.040569+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
38,2018-01-25 00:34:25.134492+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
39,2018-01-25 00:34:26.215352+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
40,2018-01-25 00:34:27.290210+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
41,2018-01-25 00:34:28.389137+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
42,2018-01-25 00:34:29.462992+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
43,2018-01-25 00:35:45.592541+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
44,2018-01-25 00:35:48.890334+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
45,2018-01-25 00:35:50.026339+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
46,2018-01-25 00:35:51.240569+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
47,2018-01-25 00:35:52.737553+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
48,2018-01-25 00:35:55.984200+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
49,2018-01-25 00:35:57.117231+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
50,2018-01-25 00:35:58.253233+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
51,2018-01-25 00:35:59.386244+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
52,2018-01-25 00:36:00.522267+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
53,2018-01-25 00:36:01.655280+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
54,2018-01-25 00:37:02.165827+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
55,2018-01-25 00:37:03.256728+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
56,2018-01-25 00:37:04.353651+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
57,2018-01-25 00:37:39.734820+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
58,2018-01-25 00:37:42.963385+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
59,2018-01-25 00:37:44.093393+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
60,2018-01-25 00:37:45.239441+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
61,2018-01-25 00:37:46.380482+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
62,2018-01-25 00:37:47.518503+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
63,2018-01-25 00:37:48.646505+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
64,2018-01-25 00:37:50.368086+09:00,fl0ckfl0ck.info,120.50.131.112,208.67.222.222
65,2018-01-25 00:38:36.629177+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
66,2018-01-25 00:38:49.669921+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
67,2018-01-25 00:38:50.788856+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
68,2018-01-25 00:38:51.876755+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
69,2018-01-25 00:38:52.967655+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
70,2018-01-25 00:38:54.062582+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
71,2018-01-25 00:38:55.143443+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
72,2018-01-25 00:38:56.291501+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
73,2018-01-25 00:38:57.364353+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
74,2018-01-25 00:39:28.736871+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
75,2018-01-25 00:39:30.821377+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
76,2018-01-25 00:39:32.908937+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
77,2018-01-25 02:18:40.570783+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
78,2018-01-25 02:18:41.698783+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
79,2018-01-25 02:18:42.802729+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
